Fine_Oil_Filter_2,Shaft_seal_damaged_2,Gear_pump_wear_2,Gear_pump_2,Breakdown_shutdown_2,Oil_leak_2,Iron_filings_2,Pressure_difference_2
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,劣化,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,故障,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,劣化,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
